Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 13, 1, 1, 363, 249, 472, 472, 0, person
00:00:00, 25, 1, 1, 366, 245, 474, 474, 0, person
00:00:01, 31, 1, 1, 367, 244, 474, 475, 0, person
00:00:01, 43, 1, 1, 356, 256, 469, 473, 0, person
00:00:01, 49, 1, 1, 354, 258, 465, 466, 0, person
00:00:01, 54, 1, 1, 354, 267, 469, 463, 0, person
00:00:03, 90, 1, 1, 363, 265, 475, 478, 0, person
00:00:03, 95, 1, 1, 359, 287, 475, 474, 0, person
00:00:03, 112, 1, 1, 361, 274, 467, 475, 0, person
00:00:03, 118, 1, 2, 352, 283, 467, 477, 0, person
00:00:03, 118, 2, 2, 336, 426, 476, 476, 36, skateboard
00:00:04, 129, 1, 1, 355, 294, 478, 475, 0, person
00:00:04, 135, 1, 1, 358, 284, 480, 474, 0, person
00:00:04, 141, 1, 1, 359, 260, 475, 476, 0, person
00:00:05, 159, 1, 1, 367, 246, 478, 477, 0, person
00:00:05, 165, 1, 1, 370, 242, 478, 473, 0, person
00:00:05, 177, 1, 1, 370, 236, 476, 472, 0, person
00:00:06, 182, 1, 1, 367, 236, 474, 474, 0, person
00:00:06, 200, 1, 1, 370, 233, 480, 471, 0, person
00:00:07, 212, 1, 1, 368, 225, 472, 473, 0, person
00:00:07, 218, 1, 1, 367, 222, 473, 473, 0, person
00:00:07, 230, 1, 1, 369, 229, 483, 472, 0, person
00:00:07, 236, 1, 1, 370, 231, 483, 472, 0, person
00:00:08, 243, 1, 1, 370, 228, 482, 473, 0, person
00:00:08, 261, 1, 1, 370, 235, 479, 472, 0, person
00:00:09, 274, 1, 1, 366, 227, 475, 472, 0, person
00:00:09, 280, 1, 1, 371, 224, 473, 471, 0, person
00:00:09, 286, 1, 1, 371, 219, 470, 471, 0, person
00:00:09, 299, 1, 1, 367, 220, 476, 474, 0, person
00:00:10, 305, 1, 1, 364, 219, 471, 469, 0, person
00:00:10, 312, 1, 1, 363, 220, 471, 467, 0, person
00:00:10, 319, 1, 1, 362, 221, 476, 473, 0, person
00:00:10, 325, 1, 1, 375, 221, 483, 474, 0, person
00:00:11, 332, 1, 1, 374, 224, 481, 476, 0, person
00:00:11, 339, 1, 1, 368, 216, 479, 472, 0, person
00:00:11, 346, 1, 1, 369, 217, 476, 472, 0, person
00:00:11, 352, 1, 1, 367, 221, 478, 474, 0, person
00:00:12, 360, 1, 1, 363, 220, 480, 475, 0, person
00:00:12, 373, 1, 1, 373, 211, 483, 475, 0, person
00:00:12, 380, 1, 1, 372, 209, 481, 474, 0, person
00:00:13, 419, 1, 1, 366, 215, 477, 474, 0, person
00:00:14, 438, 1, 1, 375, 223, 482, 474, 0, person
00:00:15, 457, 1, 1, 375, 212, 480, 472, 0, person
00:00:15, 469, 1, 1, 380, 212, 484, 475, 0, person
00:00:15, 476, 1, 1, 369, 202, 479, 473, 0, person
